Unnamed: 0,Bug ID,Type,Summary,Product,Component,Status,Average_Cos_Similarity_Score,Resolution,Updated,Bug Id,Description,Duplicate_Bug_Ids
955,1408999,enhancement,Create hidden option to change Leanplum to development mode,Firefox for iOS,General,RESOLVED,0.04744093585826233,DUPLICATE,2018-01-03 11:43:37,1408999,lets introduce a hidden setting so that we can change any build to use the leanplum development settings  this will make things easier with testing and means we do not have to do special one time builds with this change anymore ,1416088.0
1023,1618579,defect,Text selection caret is misplaced with dynamic toolbar,GeckoView,General,RESOLVED,0.04092545833309826,DUPLICATE,2020-03-02 14:44:21,1618579,created attachment   testcase html  load minimal example in fenix nightly  make sure the url bar is not visible and select text  observe text selection carets are shifted up from where they normally should be ,1618582.0
1183,1447088,enhancement,Eliminate spurious events upon session creation,GeckoView,General,RESOLVED,0.04312125925353439,DUPLICATE,2018-12-20 08:27:20,1447088,we often get spurious page load events  onlocationchange   etc for about blank when a new geckosession is created  this creates problems for testing as well as actual users of geckoview ,1447406.0
1213,1453515,defect,Allow files to be downloaded with MIME type application/octet-stream,Firefox for iOS,Browser,RESOLVED,0.0337308813660885,DUPLICATE,2018-04-30 10:07:56,1453515,when a pdf is opened in the browser firefox should download the pdf and allow apps like ibooks to open the pdf    however our detection of pdfs depends on the mimetype being  application pdf    here is a pdf that does not work  https     cloudfront net     pdf,1456276.0
1255,1478376,defect,screen.width and screen.height values are 0,GeckoView,General,RESOLVED,0.03849199757281529,DUPLICATE,2018-12-20 08:59:39,1478376,created attachment       jpg     go to   with focus   and inspect listed values   result  screen width and screen height values are     media values are empty  and device aspect ratio returns nan   expected  fennec behaves correctly  this works fine in fennec custom tab with geckoview as well ,1475875.0
1351,1588985,defect,Need to rewind the ByteBuffer for screenshots before comparison,GeckoView,General,RESOLVED,0.044089905696143586,DUPLICATE,2019-10-18 07:37:11,1588985,in screenshottest kt and verticalclippingtest kt we are comparing bytebuffers obtained by bitmap copypixelstobuffer  but at the moment  the position of the bytebuffers points the last position which means it just compares   byte in the buffers   i pushed a try with calling rewind   but the result shows us the tests is flaky        jobs repo try revision  ,1577192.0
1375,1398186,defect,"""Device Disconnected"" does not work between iOS devices",Firefox for iOS,Firefox Accounts,RESOLVED,0.047791446802268184,DUPLICATE,2017-09-28 15:24:56,1398186,master    server     dev lcip org     connect device a to an account    connect device b to the same account     make sure that the devices are in sync      disconnect device a  expected  device b receives  device disconnected  push notification  actual  no push notification is received on device b   note   device disconnected  push notification is correctly received on ios when disconnecting from desktop  ,1385986.0
1433,1658462,defect,Crash in mozilla::widget::AndroidAlerts::ShowPersistentNotification,GeckoView,Extensions,RESOLVED,0.01677915126580915,DUPLICATE,2020-08-25 07:42:37,1658462,created attachment   example extension  clicking on the button in the browser action crashes the browser  while testing a personal project i noticed that creating a notification crashes the browser    attacched a poc   looks like we re missing a null check       mozilla  widget  androidalerts  showpersistentnotification  androidalerts cpp      showwithbackend  nsalertsservice cpp   nsalertsservice  showpersistentnotification  nsalertsservice cpp   nsalertsservice  showalertnotification  nsalertsservice cpp   ns invokebyindex   s   callmethodhelper  invoke  xpcwrappednative cpp   callmethodhelper  call  xpcwrappednative cpp   xpcwrappednative  callmethod  xpcwrappednative cpp   xpc wn callmethod  xpcwrappednativejsops cpp   calljsnative    js  callreason  js  callargs const   interpreter cpp   js  internalcallorconstruct  interpreter cpp   js  callfromstack  interpreter cpp   interpret  interpreter cpp   js  runscript  interpreter cpp   js  internalcallorconstruct  interpreter cpp   js  call  interpreter cpp   js  spreadcalloperation  interpreter cpp   interpret  interpreter cpp   js  runscript  interpreter cpp   js  internalcallorconstruct  interpreter cpp   js  call  interpreter cpp   js  callselfhostedfunction  selfhosting cpp   js  jit  interpretresume  vmfunctions cpp    unknown     unknown    enterjit  jit cpp   js  jit  maybeenterjit  jit cpp   js  runscript  interpreter cpp   js  internalcallorconstruct  interpreter cpp   js  call  interpreter cpp   js  callselfhostedfunction  selfhosting cpp   asyncfunctionresume  asyncfunction cpp   asyncfunctionpromisereactionjob  promise cpp   promisereactionjob  promise cpp   calljsnative    js  callreason  js  callargs const   interpreter cpp   js  internalcallorconstruct  interpreter cpp   js  call  interpreter cpp   js  call  jsapi cpp   mozilla  dom  promisejobcallback  call  promisebinding cpp   mozilla  dom  promisejobcallback  call  promisebinding h   mozilla  dom  promisejobcallback  call  promisebinding h   mozilla  promisejobrunnable  run  cyclecollectedjscontext cpp   mozilla  cyclecollectedjscontext  performmicrotaskcheckpoint  cyclecollectedjscontext cpp   mozilla  cyclecollectedjscontext  afterprocesstask  cyclecollectedjscontext cpp   xpcjscontext  afterprocesstask  xpcjscontext cpp   nsthread  processnextevent  nsthread cpp   ns processnextevent  nsthreadutils cpp   mozilla  ipc  messagepump  run  messagepump cpp   messageloop  runinternal  message loop cc   messageloop  runhandler  message loop cc   messageloop  run  message loop cc   nsbaseappshell  run  nsbaseappshell cpp   nsappstartup  run  nsappstartup cpp   xremain  xre mainrun  nsapprunner cpp   xremain  xre main  nsapprunner cpp   xre main  nsapprunner cpp   geckostart nsandroidstartup cpp   mozilla  bootstrapimpl  geckostart  bootstrap cpp     java org mozilla gecko mozglue geckoloader nativerun  apkopen cpp   nativerun   art quick invoke static stub   art  artmethod  invoke    art  interpreter  artinterpretertocompiledcodebridge    bool art  interpreter  docall true  false     mterpinvokestaticrange   executemterpimpl   art  interpreter  execute    artquicktointerpreterbridge   art quick to interpreter bridge   art quick invoke stub   art  artmethod  invoke    art  invokewithargarray    art  invokevirtualorinterfacewithjvalues    art  thread  createcallback      pthread start      start thread     bionic clone      ,1649494.0
1476,1621825,defect,Videos do not autoplay unless WIFI is connected,GeckoView,General,RESOLVED,0.04272080568170781,DUPLICATE,2021-03-10 13:48:09,1621825,str    start geckoview example   from settings  enable  allow autoplay    turn off device wifi   load   tests plain attr autoplay html  expected  video autoplays  actual  video does not autoplay  note  works as expected with wifi enabled  app  geckoview example from   ci tc services mozilla com tasks index gecko   mozilla central nightly latest mobile android api   opt    fenix       test website    tests plain attr autoplay html device  pixel    android  ,1647779.0
1478,1651216,defect,Crash in [@ nsWindow::LayerViewSupport::FlipScreenPixels],GeckoView,General,RESOLVED,0.03585142090964786,DUPLICATE,2020-08-18 11:03:27,1651216,this bug is for crash report bp             top   frames of crashing thread        libxul so nswindow  layerviewsupport  flipscreenpixels widget android nswindow cpp     libxul so nswindow  layerviewsupport  recvscreenpixels widget android nswindow cpp     libxul so nswindow  recvscreenpixels widget android nswindow cpp     libxul so mozilla  layers  uicompositorcontrollerchild  recvscreenpixels gfx layers ipc uicompositorcontrollerchild cpp     libxul so mozilla  layers  puicompositorcontrollerchild  onmessagereceived ipc ipdl puicompositorcontrollerchild cpp     libxul so mozilla  ipc  messagechannel  dispatchmessage ipc glue messagechannel cpp     libxul so mozilla  ipc  messagechannel  messagetask  run ipc glue messagechannel cpp     libxul so mozilla  runandroiduitasks widget android androiduithread cpp     data app org mozilla firefox beta   base apk classes dex data app org mozilla firefox beta   base apk classes dex      dalvik alloc space   dalvik alloc space        ,1655580.0
1510,1719515,task,Investigate AAB support in GeckoView,GeckoView,General,RESOLVED,0.035438653825355444,DUPLICATE,2021-08-06 14:41:02,1719515,given the requirement that new apps publish aab instead of apk we should make sure that geckoview can be used with aab ,1529082.0
1516,1630144,defect,browser.windows.WINDOW_ID_CURRENT does not work in GeckoView,GeckoView,Extensions,RESOLVED,0.03597650108730598,DUPLICATE,2020-04-16 12:32:34,1630144,when testing out the  multi account containers     add on  the error log is seen when trying to access  browser windows window id current       typeerror  can t access property  window id current   browser windows is undefined      gv version        r b version        a c version                account containers,1584252.0
1573,1357185,enhancement,Share menu does not work for AS,Firefox for iOS,Home screen,RESOLVED,0.042451788325172546,DUPLICATE,2017-04-18 23:45:41,1357185,the share menu does not work for topsites or highlights in the new as ,1357108.0
1588,1368719,defect,[DataLoss] BrowserDB.prepareSchema() creates new DB if existing DB file is locked,Firefox for iOS,Data Storage,RESOLVED,0.025071820633949974,DUPLICATE,2017-09-11 11:54:32,1368719,data loss when database recovery fails  we have a situation where the database is fully recoverable  but we give up early and wipe it ,1394185.0
1616,1509901,enhancement,Add default implementations to delegate interfaces,GeckoView,General,RESOLVED,0.038980441993614806,DUPLICATE,2019-03-11 11:42:52,1509901,it prevents us from using default method implementations in interfaces  those are a pretty big usability win for the geckoview api  and i d rather have that than code coverage  see bug   ,1498721.0
1619,1401598,enhancement,iOS got an empty notification after a tab was sent,Firefox for iOS,Sync,RESOLVED,0.025996080589101432,DUPLICATE,2017-10-11 09:47:45,1401598,ios got an empty notification after a tab was sent  regular  you got a tab  notification also showed up    got an empty notification again after another tab was sent    also got a  tap to begin  ios notification  sync appears to work without intervention though ,1375988.0
1631,1567611,enhancement,Extend ContentBlocking API to report potential element blocking,GeckoView,General,RESOLVED,0.043876875971265696,DUPLICATE,2019-10-08 05:58:26,1567611,currently  the gv  contentblocking  api only reports actually blocked elements via  delegate oncontentblocked    there are use cases where it is useful to additionally report elements that  would  be blocked for specific setting configurations  which are not enabled for the current session   for example  with all content blocking options disabled  this new api would report all the elements and their corresponding blocking reason category  that would be blocked on the most strict settings  without actually blocking them ,1567268.0
1642,1445627,defect,Files are not downloading correctly,Firefox for iOS,Data Storage,RESOLVED,0.04756753782716618,DUPLICATE,2018-04-30 10:08:33,1445627,user agent  mozilla       applewebkit       ubuntu chromium         chrome         safari      steps to reproduce   tried to download unsupported file     actual results   ff tells that it is unsupported file and asking if i want to open it with another program  after accepting i don t have an option to copy file to files od documents  i only can transfer it to dropbox or copy transfer link    expected results   expecting an option to transfer downloaded file to documents or files app  ,1456276.0
1701,1443418,defect,[RTL] The magnifying glass is overlapping the the text from the first search suggestion,Firefox for iOS,General,RESOLVED,0.04860648552227013,DUPLICATE,2018-03-06 10:20:32,1443418,created attachment   simulator screen shot   ipad pro           at       png  beta           make sure  show search suggestion  option is enabled     type something in the url bar   result  the text from the first search suggestion is overlapped by the magnifying glass ,1442839.0
1703,1470167,defect,Dark Theme: make UIColor extension colors into BrowserColor(),Firefox for iOS,Theme & Visual Design,RESOLVED,0.03644576110682631,DUPLICATE,2018-07-05 13:14:53,1470167,most colors will be themeable  and thus need to be browsercolor      a theme manager will also be helpful to have a single place to track save and load of themes  and accessing the current theme ,1470160.0
1704,1422431,defect,[RTL] Text is cut-off in URL bar,Firefox for iOS,Theme & Visual Design,RESOLVED,0.04870997007158463,DUPLICATE,2018-03-04 18:53:16,1422431,rtl strings appear cut off at the right end of the url bar    note  i see many rtl bugs have been filed under localization but i don t think that s the right place to file them  which is why i ve put this under the same component as the meta bug  feel free to move around tough ,1439830.0
1716,1439051,defect,GeckoView will not go fullscreen if e10s enabled.,GeckoView,General,RESOLVED,0.03845505743070853,DUPLICATE,2018-12-20 08:27:20,1439051,if a geckosession is created with the preference geckosessionsettings use multiprocess  it is not possible to go fullscreen ,1461338.0
1728,1504011,enhancement,Add a pref in the settings to adjust the number of topsite rows,Firefox for iOS,Browser,RESOLVED,0.020094998183551902,DUPLICATE,2018-11-28 17:43:51,1504011,provide a user to have anywhere from       topsites,1510564.0
1732,1487450,defect,Add GeckoView API to know when video is playing.,GeckoView,General,RESOLVED,0.03931143903873534,DUPLICATE,2018-12-20 08:27:20,1487450,on devices like the oculus go  there are cpu and gpu throttles  fxr needs to know when when video is playing so that the throttles maybe increased ,1498246.0
1767,1509400,enhancement,WKURLSchemeHandler: add '?key=UUID' url arg to lock down error page urls,Firefox for iOS,General,RESOLVED,0.04731344398228289,DUPLICATE,2018-12-12 12:19:54,1509400,error page urls on the history stack will be loaded by the webview  and thus cannot use the  priviligedrequest   wrapper  we could push these urls on the stack with an appended uuid  and use this to unsure these loads could only have originated internally ,1509383.0
1814,1577018,enhancement,Make Default TextInputDelegate public,GeckoView,General,RESOLVED,0.0267638682808556,DUPLICATE,2019-10-02 11:34:32,1577018,make this public so i can inherit from it because fenix doesn t care about a lot of these functions,1577003.0
1816,1422440,defect,[RTL] Text is cut-off in Sync view,Firefox for iOS,Theme & Visual Design,RESOLVED,0.03280233886671743,DUPLICATE,2018-03-05 13:56:42,1422440,rtl string appears cut off at the right end of the sync field,1442807.0
1820,1598696,defect,"signal 11 (SIGSEGV), code 1 (SEGV_MAPERR)",GeckoView,General,RESOLVED,0.018610799467002174,DUPLICATE,2020-01-22 12:19:37,1598696,user agent  mozilla       applewebkit       chrome         safari      steps to reproduce   i have no ideas how to reproduce this bug  also i see this crashes only in google play console but not in firebase crashlytics    actual results   different crashes  there is the stacktrace                                                                  pid     tid        com tradingview tradingviewapp      backtrace        pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libxul so       pc     data app com tradingview tradingviewapp y     lib   libmozglue so         pc     data app com tradingview tradingviewapp y     oat   base odex         pc     data app com tradingview tradingviewapp y     oat   base odex         pc     system   libart so         pc     system   libart so            pc     system   libart so    invokewithargarray   argarray   art  jvalue   char const            pc     system   libart so            pc     system   libart so            pc     system   libc so            pc     system   libc so      also  i found readable stacktrace on armeabi   build  backtrace        pc     system bin linker         pc     system bin linker         pc     system bin linker         pc     data app com tradingview tradingviewapp     lib arm libxul so,1598068.0
1840,1592348,enhancement,Enable/Implement captivePortal on mobile,GeckoView,Extensions,RESOLVED,0.044389557810936335,DUPLICATE,2019-10-30 09:06:07,1592348,for some reason  captiveportal  is not enabled on mobile  we should implement whatever is missing and turning it on for geckoview   this is needed for secure proxy     central rev   toolkit components extensions jar mn    ,1591568.0
1849,1392663,defect,[Regression] Spotlight search not working,Firefox for iOS,General,RESOLVED,0.042071117316445576,DUPLICATE,2017-10-03 10:04:24,1392663,master   ios      visit a webpage in a new tab      hit home button     swipe down to launch spotlight search     type the title of the previously visited webpage  result   there is no fennec search result for the visited webpage,1390294.0
1870,1577019,enhancement,Remove 26+ check for only tagging username/password fields when filling the ViewStructure in fillAutoFillStructure,GeckoView,General,RESOLVED,0.04693501542280628,DUPLICATE,2019-10-02 11:34:39,1577019,fillautofillstructure doesn t tag the email password etc fields unless the api level is     i m assuming this is because it was pointless to do so because the system autofill providers don t work under    ideally we would tag these fields for     this bug is depdendent on related to   bug cgi id  ,1577003.0
1912,1384188,enhancement,Enable Sentry logging from App Extensions,Firefox for iOS,Telemetry,RESOLVED,0.022409093851273765,DUPLICATE,2018-01-26 11:27:15,1384188,it would be nice if we could see errors messages originating from our app extensions too ,1403142.0
1914,1441249,defect,[tracking protection 2.0]  TP Stats not reset on reload,Firefox for iOS,Browser,RESOLVED,0.0354067623648029,DUPLICATE,2018-02-28 07:49:39,1441249,likely the reload event is not setting the per tab tp stats object back to zero,1439307.0
1924,1535126,defect,Pulling down to refresh synced tabs is glitchy,Firefox for iOS,Firefox Accounts,RESOLVED,0.03866933161559904,DUPLICATE,2019-03-20 10:54:21,1535126,created attachment                  steps to reproduce sign into sync on two devices visit synced tabs pull down to refresh  expected results smooth as gorilla glass  actual results twitchy as ping pong balls in a vitamix  note  screen cap is in airplane mode but even online it s twitchy,1535003.0
1983,1512639,enhancement,Investigate HTML Credit Card / Address autofill APIs,GeckoView,General,RESOLVED,0.03691121088462704,DUPLICATE,2021-02-09 13:06:42,1512639,we should investigate what s the story for payments apis in geckoview to allow embedding apps to implement credit card autofill and related features ,1691819.0
2047,1424706,defect,Deleting characters from awesomebar will not delete already existing site suggestions,Firefox for iOS,Home screen,RESOLVED,0.03517920410512457,DUPLICATE,2018-02-27 09:53:52,1424706,device  ipad     build  beta        str      have some sites bookmarked and in history    type in some characters in awesomebar to trigger suggestions    delete typed in characters  expected results   suggestions should be deleted when awesomebar is clear  actual result   suggestions still displayed  for further details please check      v   feature youtu be,1418103.0
2116,1369881,enhancement,Send core ping using mozilla-mobile/telemetry-ios,Firefox for iOS,Telemetry,RESOLVED,0.03779602012365074,DUPLICATE,2017-10-03 08:57:50,1369881,since we re going to pull in   mobile telemetry ios for ui event telemetry  we should also use it for sending the core ping ,1402976.0
2119,1439913,defect,L10 screenshots fail to run,Firefox for iOS,Localization,RESOLVED,0.02399768568694357,DUPLICATE,2018-03-06 10:01:03,1439913,noting this before the next screenshot run                     runner        catransaction synchronize  called within transaction                   runner      running tests                      runner      the bundle    xctest  couldn t be loaded because it is damaged or missing necessary resources  try reinstalling the bundle                    runner         library not loaded   rpath mappamundi framework mappamundi   referenced from   users jhugman library developer xcode deriveddata client gspzncyrtnvytgbhiuyrbdiehmwb build products fennec iphonesimulator   runner app plugins   xctest     reason  image not found ,1442426.0
2184,1640283,enhancement,Overhaul content permissions API,GeckoView,General,RESOLVED,0.031721661346977556,DUPLICATE,2021-05-28 07:17:29,1640283,the current api has several drawbacks both for gecko and applications using geckoview  discussion and proposal here      edit heading h  ,1654832.0
2187,1694220,task,Update GeckoView target sdk version to 30,GeckoView,General,RESOLVED,0.02376541121008952,DUPLICATE,2021-05-28 06:48:47,1694220,ac fenix is updating soon and we should too ,1688062.0
2198,1641586,defect,GeckoWebExecutor.fetch returns 403 in private browsing,GeckoView,General,RESOLVED,0.04467063386571004,DUPLICATE,2020-09-08 08:48:14,1641586,more detail and str can be found in the  fenix bug  ,1530022.0
2244,1471560,defect,Crash in mozilla::gl::SharedSurface_SurfaceTexture::Commit,GeckoView,General,RESOLVED,0.02415433987485685,DUPLICATE,2018-12-20 08:27:20,1471560,this bug was filed from the socorro interface and is report bp                                                                           top   frames of crashing thread     libxul so mozilla  gl  sharedsurface surfacetexture  commit gfx gl sharedsurfaceegl cpp     libxul so mozilla  layers  canvasclientsharedsurface  updaterenderer gfx layers client canvasclient cpp     libxul so mozilla  layers  canvasclientsharedsurface  update gfx layers client canvasclient cpp     libxul so mozilla  layers  shareablecanvasrenderer  updatecompositableclient gfx layers shareablecanvasrenderer cpp     libxul so mozilla  layers  clientcanvaslayer  renderlayer gfx layers client clientcanvaslayer cpp     libxul so mozilla  layers  clientcontainerlayer  renderlayer gfx layers client clientcontainerlayer h     libxul so mozilla  layers  clientcontainerlayer  renderlayer gfx layers client clientcontainerlayer h     libxul so mozilla  layers  clientcontainerlayer  renderlayer gfx layers client clientcontainerlayer h     libxul so mozilla  layers  clientcontainerlayer  renderlayer gfx layers client clientcontainerlayer h     libxul so mozilla  layers  clientlayermanager  endtransactioninternal gfx layers client clientlayermanager cpp                                                                   there are   crashes in nightly starting with buildid    the moz crash reason is always  moz release assert    snorp  could you investigate please  ,1478754.0
2248,1573584,defect,Crash in [@ libhwui.so@0x2fe32],GeckoView,General,RESOLVED,0.02109518172480377,DUPLICATE,2019-08-15 16:12:21,1573584,this bug is for crash report bp                top crash in the fenix     release      all devices are motorola running api         top   frames of crashing thread     libc so libc so      libhwui so libhwui so      libhwui so libhwui so      libhwui so libhwui so      liblog so liblog so      libhwui so libhwui so      liblog so liblog so      dalvik main space     dalvik main space       dalvik main space     dalvik main space       dalvik main space     dalvik main space         ,1374570.0
2298,1450495,enhancement,[PushBox] Fallback: retrieving undelivered tabs from pushbox.,Firefox for iOS,Sync,RESOLVED,0.031173135148587338,DUPLICATE,2018-07-16 13:52:07,1450495,this should be done on application foregrounding  and periodically  as we currently do with synceverything ,1463826.0
2304,1465387,enhancement,window.find throws NS_ERROR_NOT_AVAILABLE on fennec.,GeckoView,General,RESOLVED,0.03884241786338842,DUPLICATE,2020-07-23 15:40:58,1465387,see bug    where my test was backed out because of this   ,1358633.0
